iter	Passed	Remaining
0	0	447
1	0	415
2	1	418
3	1	407
4	2	400
5	2	395
6	2	399
7	3	398
8	3	398
9	4	398
10	4	399
11	4	399
12	5	400
13	5	400
14	6	401
15	6	400
16	6	401
17	7	400
18	7	400
19	8	400
20	8	403
21	9	402
22	9	402
23	9	400
24	10	400
25	10	399
26	11	402
27	11	404
28	12	406
29	12	410
30	13	411
31	13	413
32	14	414
33	14	415
34	15	416
35	15	415
36	15	415
37	16	416
38	16	413
39	17	410
40	17	408
41	17	406
42	18	407
43	18	407
44	19	405
45	19	402
46	19	399
47	20	400
48	20	399
49	20	396
50	21	396
51	21	396
52	22	396
53	22	397
54	23	398
55	23	398
56	24	397
57	24	396
58	24	397
59	25	397
60	25	398
61	26	398
62	26	398
63	27	399
64	27	399
65	28	399
66	28	399
67	29	399
68	29	399
69	30	398
70	30	399
71	30	399
72	31	399
73	31	399
74	32	399
75	32	399
76	33	397
77	33	395
78	33	394
79	34	392
80	34	390
81	34	390
82	35	387
83	35	387
84	36	387
85	36	385
86	36	384
87	36	382
88	37	381
89	37	381
90	38	381
91	38	381
92	38	380
93	39	378
94	39	377
95	39	375
96	40	374
97	40	374
98	41	374
99	41	373
100	41	372
101	42	371
102	42	370
103	42	369
104	43	369
105	43	368
106	45	380
107	46	380
108	46	380
109	47	380
110	47	380
111	47	379
112	48	380
113	48	380
114	49	380
115	49	380
116	50	378
117	50	377
118	50	376
119	51	375
120	51	374
121	51	373
122	52	372
123	52	371
124	53	371
125	53	370
126	53	368
127	53	367
128	54	367
129	54	366
130	55	366
131	55	364
132	55	364
133	56	363
134	56	363
135	57	362
136	57	361
137	57	360
138	58	360
139	58	359
140	58	359
141	59	357
142	59	357
143	59	356
144	60	355
145	60	356
146	61	355
147	61	354
148	62	354
149	62	354
150	63	354
151	63	354
152	63	354
153	64	353
154	64	353
155	65	352
156	65	352
157	66	351
158	66	351
159	66	351
160	67	349
161	67	349
162	68	349
163	68	349
164	68	348
165	69	348
166	69	348
167	70	347
168	70	347
169	71	347
170	71	346
171	71	346
172	72	346
173	72	345
174	73	345
175	73	345
176	74	344
177	74	344
178	75	344
179	75	343
180	75	343
181	76	343
182	76	342
183	77	342
184	77	342
185	78	341
186	78	341
187	78	340
188	79	339
189	79	339
190	79	338
191	80	337
192	80	337
193	81	336
194	81	336
195	81	335
196	82	335
197	82	334
198	83	334
199	83	333
200	83	333
201	84	332
202	84	332
203	85	332
204	85	331
205	85	330
206	86	329
207	86	328
208	86	328
209	87	327
210	87	326
211	87	326
212	88	325
213	88	325
214	88	324
215	89	324
216	89	324
217	90	323
218	90	322
219	90	322
220	91	321
221	91	321
222	92	320
223	92	320
224	92	319
225	93	319
226	93	318
227	93	317
228	94	317
229	94	316
230	95	316
231	95	315
232	95	315
233	96	314
234	96	314
235	96	313
236	97	313
237	97	313
238	98	313
239	98	312
240	99	312
241	99	311
242	99	311
243	100	311
244	100	310
245	103	316
246	103	315
247	104	315
248	104	315
249	105	317
250	106	316
251	106	315
252	106	315
253	107	314
254	107	313
255	107	312
256	108	312
257	108	311
258	108	310
259	108	310
260	109	309
261	109	308
262	109	307
263	110	307
264	110	306
265	110	305
266	111	305
267	111	304
268	111	303
269	112	303
270	112	302
271	112	301
272	113	300
273	113	300
274	113	299
275	113	298
276	114	298
277	114	297
278	114	296
279	115	296
280	115	295
281	115	295
282	116	294
283	116	293
284	116	293
285	117	292
286	117	291
287	117	291
288	118	290
289	118	289
290	118	289
291	119	288
292	119	287
293	119	287
294	119	286
295	120	286
296	120	285
297	120	284
298	121	284
299	121	283
300	121	282
301	122	282
302	122	281
303	122	281
304	123	280
305	123	279
306	123	279
307	124	278
308	124	278
309	124	277
310	125	277
311	125	276
312	130	285
313	130	285
314	131	285
315	131	284
316	132	284
317	134	289
318	135	288
319	135	288
320	136	288
321	136	288
322	137	287
323	137	287
324	138	286
325	138	286
326	138	285
327	139	284
328	139	284
329	139	283
330	140	282
331	140	282
332	140	281
333	140	281
334	142	282
335	142	282
336	143	281
337	143	281
338	144	280
339	144	280
340	144	279
341	145	279
342	145	278
343	145	278
344	146	277
345	146	277
346	147	276
347	147	276
348	147	275
349	148	274
350	148	274
351	148	274
352	149	273
353	149	272
354	149	272
355	150	271
356	150	271
357	151	270
358	152	272
359	153	272
360	153	271
361	153	271
362	154	270
363	154	269
364	155	271
365	156	270
366	156	269
367	156	269
368	157	269
369	157	268
370	158	268
371	158	267
372	159	268
373	159	267
374	160	267
375	160	266
376	161	266
377	161	265
378	161	265
379	162	264
380	162	263
381	163	264
382	164	264
383	164	264
384	165	264
385	165	263
386	166	263
387	167	264
388	168	264
389	168	263
390	169	263
391	169	263
392	170	263
393	171	263
394	171	262
395	171	262
396	172	261
397	172	260
398	172	260
399	173	259
